Mon Jul 22 12:45:26 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x7f146dcd2e10>, 'Connection to examsdaily.in timed out. (connect timeout=5)'))"
Mon Jul 22 13:19:04 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Read timed out. (read timeout=5)"
Mon Jul 22 13:19:39 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Read timed out. (read timeout=5)"
Mon Jul 22 13:20:16 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Read timed out. (read timeout=5)"
Mon Jul 22 13:20:51 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Read timed out. (read timeout=5)"
Mon Jul 22 13:21:26 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Read timed out. (read timeout=5)"
Mon Jul 22 13:32:36 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Read timed out. (read timeout=5)"
Mon Jul 22 14:13:30 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x7f146dcd2ef0>, 'Connection to examsdaily.in timed out. (connect timeout=5)'))"
Mon Jul 22 18:51:04 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x7f146dcdd5c0>, 'Connection to examsdaily.in timed out. (connect timeout=5)'))"
Mon Jul 22 18:56:21 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x7f146dcd2780>, 'Connection to examsdaily.in timed out. (connect timeout=5)'))"
Mon Jul 22 19:11:06 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Read timed out. (read timeout=5)"
Mon Jul 22 19:11:41 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Read timed out. (read timeout=5)"
Mon Jul 22 19:12:17 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Read timed out. (read timeout=5)"
Mon Jul 22 19:12:52 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Read timed out. (read timeout=5)"
Mon Jul 22 19:21:30 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x7f146dcd2e10>, 'Connection to examsdaily.in timed out. (connect timeout=5)'))"
Mon Jul 22 21:04:29 2019,"HTTPSConnectionPool(host='examsdaily.in', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.VerifiedHTTPSConnection object at 0x7f146dcd2668>, 'Connection to examsdaily.in timed out. (connect timeout=5)'))"
